life_expectancy,state,median_income,unemployment,income_inequality,gender_pay_gap,disconnected_youth,adult_smoking,physical_inactivity,adult_obesity,diabetes_prevalence,food_insecurity,insufficient_sleep,pm25,primary_care_physicians,homeownership,severe_housing_cost_burden
79.56033856,WI,93830,0.0255070444,3.4972488942,0.8090247331,0.0438043804,0.132,0.189,0.371,0.078,0.077,0.334,8.7,5.831966e-4,0.7810452888,0.0816590591
80.33807272,WI,99168,0.0264533705,3.9437974789,0.7599022634,0.0321640316,0.125,0.175,0.32,0.074,0.077,0.315,8.8,0.0014018143,0.7642724384,0.1049291716
76.464766633,WI,68545,0.0304131448,4.1518130703,0.7521933025,0.0390554042,0.18,0.227,0.367,0.085,0.106,0.343,7.7,5.817336e-4,0.748414754,0.1116758242
77.607972688,WI,70336,0.0347500668,3.9857205847,0.7714375899,0.1036821705,0.217,0.263,0.418,0.098,0.115,0.335,7.7,2.819397e-4,0.8301558115,0.1079136691
77.933126777,WI,70720,0.0265997383,3.8928252722,0.7867313812,0.025989961,0.173,0.21,0.396,0.087,0.105,0.327,8.3,7.866079e-4,0.6578976625,0.0908652824
77.068580189,WI,67068,0.0353815837,4.0418034434,0.7752018181,0.0485175202,0.188,0.251,0.409,0.09,0.115,0.333,7.8,0.0013770757,0.7338613737,0.0909527315
76.372235795,WY,73558,0.0289287553,4.3396309315,0.7036316669,0.063759742,0.159,0.217,0.346,0.08,0.144,0.334,4.75,6.979922e-4,0.7192118433,0.1105504467
70.518910676,WY,64170,0.0338273027,3.9405001341,0.7860977467,0.1299954065,0.186,0.231,0.379,0.098,0.156,0.325,7.3,8.135042e-4,0.7068872384,0.0881026219
76.004391337,WY,75131,0.029679478,4.1994842189,0.7683442605,0.0673056443,0.177,0.236,0.343,0.085,0.133,0.344,4.4,6.345241e-4,0.7080206103,0.1228412928
74.873567706,WY,73110,0.0316398162,4.1000367782,0.7040567469,0.069049951,0.18,0.271,0.378,0.094,0.139,0.352,4.9,7.164855e-4,0.7356767313,0.1053458635
